,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,"“Rain” (by Mia Couto), “The Sun on My Head” (by Geovani Martins) and “Arid Dreams” (by Duanwad Pimwana) depict landscapes of misfortune around the world.",RAIN And Other Stories,Three Collections of Stories in Translation,"Books and Literature;Rain: And Other Stories (Book);Couto, Mia;The Sun on My Head: Stories (Book);Martins, Geovani;Arid Dreams: Stories (Book);Pimwana, Duanwad",2019-07-08,article,Books,News
0,The International Rescue Committee says historical comparisons are beside the point.,To the Editor:,"Refugees, Then and Now",Refugees and Displaced Persons;Humanitarian Aid;International Rescue Committee,2019-07-08,article,Opinion,Letter
0,The prosecution appeared in jeopardy after the actor’s accuser invoked the Fifth Amendment during a hearing over a missing phone.,"NANTUCKET, Mass. — A judge said on Monday that a sexual assault case against the actor Kevin Spacey could be dismissed after the young man who accused Mr. Spacey of fondling him invoked the Fifth Amendment during a hearing over his missing phone.","Kevin Spacey Sexual Assault Case Could Be Dismissed, Judge Says","Spacey, Kevin;Unruh, Heather;Nantucket (Mass);Sex Crimes;Barrett, Thomas S",2019-07-08,article,Arts,News
0,Readers call for pay parity and discuss criticism of team members’ behavior.,To the Editor:,Another World Cup for U.S. Women,Women's World Cup (Soccer),2019-07-08,article,Opinion,Letter
0,"The retailer wants to draw more people into its stores, and it hopes that packing, labeling and shipping returns for the online behemoth will help.","It says volumes about the challenges facing brick-and-mortar stores that the “single biggest initiative” out of Kohl’s this year, according to the national retailer’s chief executive, is that it will now accept and process unwanted orders from Amazon.",Kohl’s Is Betting on Amazon Returns to Drive Sales,"Kohl's Corporation;AMAZON.COM INC;Shopping and Retail;E-Commerce;United States;Gass, Michelle",2019-07-08,article,Business Day,News
0,Why did President Obama and President Trump treat Iran so differently? Can the nuclear deal be saved? How might the confrontation end?,The International Atomic Energy Agency confirmed Monday that Iran had resumed enriching uranium to higher levels than permitted under a 2015 accord with the United States and other world powers. The step inches Tehran closer to having the capacity to build a nuclear bomb.,"The Iran Crisis: How the Nuclear Deal Started to Unravel, and What’s Next","Nuclear Weapons;Trump, Donald J;Obama, Barack;Iran;Saudi Arabia;United States",2019-07-08,article,World,News
0,Buddhism's militant tilt.,(Want to get this briefing by email? Here’s the sign-up.),"Jeffrey Epstein, Buddhism, Unesco: Your Tuesday Briefing",,2019-07-08,article,Briefing,briefing
0,The fashion designer on the making of the floral prints for his fall 2019 collection.,The fashion designer on the making of the floral prints for his fall 2019 collection.,Dries Van Noten | Fall 2019,Flowers and Plants;Fashion and Apparel,2019-07-08,multimedia,T Magazine,Video
0,The Belgian designer shares a glimpse inside his flower-filled estate.,"“I didn’t want sweet flowers,” says Dries Van Noten of the vivid color-saturated floral patterns that he layered across supple silk trench coats and diaphanous column gowns for his fall 2019 collection. “I thought, ‘What is the most spontaneous, most direct way to create a flower print?’” The Belgian designer, who is renowned for his painterly botanical prints, found the answer, as he so often does, in his own garden, the sprawling 55-acre patchwork of rose bushes, fruit trees and swaying wild grasses that surrounds his 1840s neo-Classical house near Antwerp.",How Dries Van Noten Made Prints Using Flowers From His Own Garden,"Flowers and Plants;Gardens and Gardening;Fashion and Apparel;van Noten, Dries",2019-07-08,article,T Magazine,News
0,A new show at the Robert Mann Gallery looks at how artists have used seafood as inspiration.,"Sea creatures have figured in art since ancient times. This summer, the Robert Mann Gallery in Chelsea will display 29 photographs dating back to the 1890s in which fish and other seafood are the focus. The dinner table is often involved, as in this stunner of Picasso by David Douglas Duncan.",The Fine Art of Fish Photography,"Art;Mann, Robert Gallery;Chelsea (Manhattan, NY);Photography",2019-07-08,article,Food,News
